title,year,genres,cast,director,overview,rating,poster_url
Master,2021,"Action, Drama, Thriller","Vijay, Vijay Sethupathi, Malavika Mohanan",Lokesh Kanagaraj,"An alcoholic college professor with a rebellious personality is sent to a juvenile correction facility where he uncovers a violent system manipulated by a ruthless gangster who exploits children for criminal activities. As he forms connections with the students, he becomes determined to fight against corruption and abuse despite personal weaknesses and emotional struggles. The film combines action, social commentary, redemption, and psychological conflict while examining power, manipulation, and responsibility.",7.3,https://image.tmdb.org/t/p/w500/wjbOlovDadOdPKkSAMohLCjbIsc.jpg
Kaithi,2019,"Action, Thriller, Crime","Karthi, Narain, Arjun Das",Lokesh Kanagaraj,"A recently released prisoner desperately trying to meet his daughter becomes trapped in a deadly night-long mission involving poisoned police officers, hidden drug cartels, and violent criminals. Forced to assist the police despite his troubled past, he must survive relentless attacks while protecting innocent lives. The film unfolds almost entirely over one tense night and blends emotional drama, survival, suspense, and high-intensity action while exploring fatherhood, redemption, and sacrifice.",8.4,https://image.tmdb.org/t/p/w500/mxvOvom5zKRp4WPURKrhjoatt4P.jpg
Vikram,2022,"Action, Thriller, Crime","Kamal Haasan, Vijay Sethupathi, Fahadh Faasil",Lokesh Kanagaraj,"A series of brutal murders involving masked vigilantes leads a black-ops investigator into a dangerous criminal network tied to drugs, corruption, and hidden identities. As the investigation deepens, long-buried secrets about a supposedly dead former agent begin surfacing. The film blends espionage, emotional revenge, undercover operations, and intense action while exploring justice, sacrifice, fatherhood, and the consequences of violence in a dark criminal world.",8.3,https://image.tmdb.org/t/p/w500/774UV1aCURb4s4JfEFg3IEMu5Zj.jpg
Leo,2023,"Action, Thriller, Crime","Vijay, Trisha, Sanjay Dutt",Lokesh Kanagaraj,"A quiet café owner living peacefully with his family in Himachal Pradesh becomes the target of dangerous gangsters who believe he is connected to a violent criminal from their past. As his hidden history slowly unfolds, brutal confrontations and emotional conflicts threaten to destroy his carefully built life. The film combines family drama, psychological tension, action, and crime while exploring identity, trauma, violence, and survival.",7.2,https://image.tmdb.org/t/p/w500/gSOVog7ydsaF1YpgAqBqnKYFGY.jpg
Jersey,2019,"Sports, Drama","Nani, Shraddha Srinath, Sathyaraj",Gowtam Tinnanuri,"A talented but failed cricketer struggling with unemployment and personal disappointment decides to return to professional cricket in his thirties to fulfill his young son’s wish. Battling age, criticism, financial pressure, and emotional insecurity, he begins a difficult journey toward redemption and self-respect. The film emotionally explores fatherhood, dreams, sacrifice, perseverance, and the pain of unrealized potential through grounded storytelling and inspiring sports drama.",8.5,https://image.tmdb.org/t/p/w500/bU9q9yVtxeBiC0Do27CekHXNE6D.jpg
Maharaja,2024,"Crime, Thriller, Drama","Vijay Sethupathi, Mamta Mohandas, Anurag Kashyap",Nithilan Saminathan,"A quiet barber walks into a police station demanding help in finding a stolen object he calls 'Lakshmi,' but the strange complaint slowly reveals a deeply emotional and violent mystery connected to his past. As hidden truths emerge through nonlinear storytelling, the investigation exposes trauma, revenge, grief, and shocking human cruelty. The film combines psychological tension, emotional drama, crime investigation, and moral complexity while keeping the audience uncertain about the real story until the final moments.",8.7,https://image.tmdb.org/t/p/w500/s0m4TM1XRAftQStgKpw024RvkJo.jpg
Aavesham,2024,"Action, Comedy, Drama","Fahadh Faasil, Hipzster, Mithun Jai Shankar",Jithu Madhavan,"A group of college students seeking revenge after being humiliated by local seniors unexpectedly become associated with a flamboyant gangster known for his unpredictable behavior and explosive personality. As friendship, violence, comedy, and chaos spiral together, the students are drawn deeper into the criminal world. The film balances dark humor, emotional unpredictability, energetic action, and eccentric character moments while exploring loneliness, loyalty, masculinity, and influence.",8.1,https://image.tmdb.org/t/p/w500/k5RWPaNjgRcNvGoawYaQHQwyctI.jpg
Manjummel Boys,2024,"Adventure, Survival, Thriller","Soubin Shahir, Sreenath Bhasi, Balu Varghese",Chidambaram,"A group of close friends from Kerala travel to Kodaikanal for a vacation that turns into a terrifying survival mission when one of them falls into a dangerous hidden cave with almost no chance of rescue. As fear, guilt, friendship, and desperation intensify, the group risks everything to save their companion. Inspired by real events, the film explores brotherhood, courage, trauma, and hope while building tension through emotional realism and survival drama.",8.5,https://image.tmdb.org/t/p/w500/bswrtewwthpsh6nABiqKevU4UBI.jpg
777 Charlie,2022,"Adventure, Drama, Family","Rakshit Shetty, Sangeetha Sringeri",Kiranraj K,"A lonely and emotionally disconnected factory worker living a repetitive life unexpectedly forms a deep bond with a stray dog named Charlie. As Charlie transforms his routine and emotional world, the pair embark on a heartfelt journey across the country filled with friendship, healing, humor, and painful truths. The film explores loneliness, companionship, emotional recovery, and unconditional love while presenting an emotional road-trip narrative centered around human-animal connection.",8.8,https://image.tmdb.org/t/p/w500/qArPmXH0aWsT3SEtYl8XrU2Oz48.jpg
Kumbalangi Nights,2019,"Drama, Family, Romance","Soubin Shahir, Shane Nigam, Fahadh Faasil",Madhu C. Narayanan,"Four emotionally distant brothers living in a dysfunctional household struggle with poverty, responsibility, toxic masculinity, and personal identity in a small coastal town. As relationships slowly develop and emotional wounds surface, the brothers are forced to confront their insecurities and learn the meaning of family and acceptance. The film combines realism, subtle humor, romance, and psychological depth while exploring masculinity, emotional vulnerability, and human connection.",8.6,https://image.tmdb.org/t/p/w500/lJ3RvIirE2C7gdBKvPRaoQ3iCo2.jpg
Soorarai Pottru,2020,"Drama, Biography, Aviation","Suriya, Aparna Balamurali, Paresh Rawal",Sudha Kongara,"Inspired by real events, the film follows an ambitious young man from a rural background who dreams of making air travel affordable for ordinary people. Despite financial struggles, social humiliation, and powerful corporate opposition, he relentlessly fights to build a low-cost airline that can change millions of lives. The story explores ambition, innovation, sacrifice, marriage, friendship, and resilience while highlighting the emotional and economic barriers faced by dreamers challenging established systems.",8.7,https://image.tmdb.org/t/p/w500/5uimlxPCgAei8JfQUDFEUQLoyyh.jpg
Tumbbad,2018,"Folklore, Horror, Fantasy","Sohum Shah, Mohammad Samad, Jyoti Malshe",Rahi Anil Barve,"Set across several decades in a rain-soaked village haunted by mythological greed, the story follows a man obsessed with discovering a hidden treasure connected to an ancient cursed deity. As his ambition grows stronger, he repeatedly risks his family, morality, and sanity in pursuit of limitless wealth hidden beneath terrifying supernatural forces. The film combines folklore horror, psychological tension, period storytelling, and dark fantasy while exploring greed, inheritance, fear, and the destructive nature of obsession.",8.2,https://image.tmdb.org/t/p/w500/tk1h0lXd0WkrVo4BC36sOO3gi9P.jpg
Andhadhun,2018,"Crime, Thriller, Dark Comedy","Ayushmann Khurrana, Tabu, Radhika Apte",Sriram Raghavan,"A talented pianist pretending to be blind unexpectedly becomes trapped inside a dangerous web of murder, deception, blackmail, and manipulation after witnessing a shocking crime. As lies continuously overlap and every character hides secret motives, the situation grows increasingly unpredictable and morally ambiguous. The film combines dark humor, suspense, psychological tension, and crime thriller storytelling while exploring greed, survival, morality, and the uncertainty of truth.",8.2,https://image.tmdb.org/t/p/w500/dy3K6hNvwE05siGgiLJcEiwgpdO.jpg
3 Idiots,2009,"Comedy, Drama, Education","Aamir Khan, R. Madhavan, Sharman Joshi",Rajkumar Hirani,"Three engineering students struggling under academic pressure, parental expectations, and rigid educational systems develop a life-changing friendship while questioning society’s definition of success. Years later, two of them embark on a journey to rediscover their brilliant and unconventional friend whose philosophy transformed their understanding of learning and happiness. The film combines humor, emotional storytelling, friendship, and social commentary while exploring education, ambition, creativity, mental health, and individuality.",8.4,https://image.tmdb.org/t/p/w500/66A9MqXOyVFCssoloscw79z8Tew.jpg
ZNMD,2011,"Adventure, Friendship, Drama","Hrithik Roshan, Farhan Akhtar, Abhay Deol",Zoya Akhtar,"Three childhood friends reunite for a long-delayed road trip across Spain before one of them gets married, but hidden emotional insecurities and unresolved personal conflicts slowly begin surfacing throughout the journey. Through adventure sports, relationships, and honest conversations, each man confronts fear, regret, ambition, and emotional vulnerability. The film combines travel adventure, friendship drama, romance, and self-discovery while exploring adulthood, freedom, emotional healing, and meaningful relationships.",8.2,https://image.tmdb.org/t/p/w500/hKO9O715wYxjkQSEv47giCYcyO8.jpg
Ustad Hotel,2012,"Drama, Family, Food","Dulquer Salmaan, Thilakan, Nithya Menen",Anwar Rasheed,"A young man dreaming of becoming a professional chef returns unwillingly to Kerala after conflict with his wealthy father and begins working at his grandfather’s small beachside restaurant. Through simple food, emotional conversations, and interactions with struggling people, he slowly learns compassion, purpose, and the emotional meaning of life beyond money and status. The film combines family drama, culinary storytelling, emotional warmth, and social realism while exploring ambition, humanity, and intergenerational relationships.",8.2,https://image.tmdb.org/t/p/w500/88QYspKRArRutF3t0Bzj0JYFlcI.jpg
Pizza,2012,"Horror, Thriller, Mystery","Vijay Sethupathi, Remya Nambeesan",Karthik Subbaraj,"A pizza delivery worker already struggling with financial problems and relationship stress experiences terrifying supernatural events while delivering food to a mysterious house one stormy night. As fear, paranoia, and unexplained incidents intensify, hidden truths surrounding the haunting slowly emerge in unexpected ways. The film combines psychological horror, suspense, emotional tension, and mystery storytelling while exploring fear, survival, deception, and uncertainty.",8.0,https://image.tmdb.org/t/p/w500/ojC9NacZhfSwUn9aAMXUtDLV52e.jpg
Delhi Belly,2011,"Dark Comedy, Crime, Thriller","Imran Khan, Kunaal Roy Kapur, Vir Das",Abhinay Deo,"Three irresponsible roommates living chaotic lives in Delhi accidentally become involved in a dangerous criminal situation involving smuggled diamonds, gangsters, mistaken identities, and constant bad luck. As absurd misunderstandings spiral into violent consequences, the friends struggle desperately to survive while managing their dysfunctional relationships and personal failures. The film combines adult humor, crime thriller elements, urban chaos, and satire while exploring greed, immaturity, friendship, and survival.",7.5,https://image.tmdb.org/t/p/w500/7FMYqomLfFnVhsA7PnWX0GLEB0O.jpg
Ugly,2013,"Psychological, Crime, Drama","Rahul Bhat, Ronit Roy, Tejaswini Kolhapure",Anurag Kashyap,"The disappearance of a young girl unexpectedly exposes the selfishness, emotional damage, addiction, and moral corruption hidden within the lives of multiple adults connected to her. As police investigations and personal conflicts intensify, relationships collapse under greed, manipulation, and emotional trauma. The film combines psychological realism, crime investigation, dark emotional drama, and social commentary while exploring human weakness, broken relationships, guilt, and moral decay.",8.0,https://image.tmdb.org/t/p/w500/2rq96Ihbqb1eU3TEBVtgFlqbeX7.jpg
October,2018,"Drama, Emotional, Slice of Life","Varun Dhawan, Banita Sandhu, Gitanjali Rao",Shoojit Sircar,"An immature hotel management trainee unexpectedly becomes emotionally attached to a quiet coworker after she suffers a devastating accident that leaves her critically injured. As he spends increasing amounts of time caring for her despite lacking any romantic relationship, he slowly begins understanding empathy, emotional responsibility, and silent human connection. The film combines emotional realism, subtle storytelling, and slice-of-life drama while exploring grief, care, loneliness, and unconditional attachment.",7.5,https://image.tmdb.org/t/p/w500/yVl7zidse4KiWtGMqHFtZCx4X3N.jpg
Kahaani,2012,"Mystery, Thriller, Crime","Vidya Balan, Parambrata Chatterjee, Nawazuddin Siddiqui",Sujoy Ghosh,"A pregnant woman arrives in Kolkata during the busy Durga Puja celebrations searching desperately for her missing husband, but every clue leads deeper into a dangerous conspiracy involving intelligence agencies, terrorism, and hidden identities. As authorities question her story and mysterious deaths begin occurring around the investigation, she continues pursuing the truth with remarkable determination. The film combines suspense, emotional tension, investigative mystery, and psychological manipulation while exploring grief, deception, and revenge.",8.1,https://image.tmdb.org/t/p/w500/e2eQVOrdQ8k7yYjjHKHP2nlwbTu.jpg
Rock On!!,2008,"Music, Friendship, Drama","Farhan Akhtar, Arjun Rampal, Purab Kohli",Abhishek Kapoor,"Four former bandmates who abandoned their musical dreams years earlier reunite after personal tragedy forces them to confront unresolved conflicts, regret, and emotional distance. As old friendships slowly heal through music and emotional honesty, each individual begins reevaluating ambition, relationships, and lost passion. The film combines music, friendship drama, emotional realism, and personal redemption while exploring adulthood, creativity, reconciliation, and second chances.",7.7,https://image.tmdb.org/t/p/w500/cckTZXVpchMrljPouFf7u2wqUTX.jpg
Lucifer,2019,"Political, Crime, Thriller","Mohanlal, Vivek Oberoi, Manju Warrier",Prithviraj Sukumaran,"Following the sudden death of a powerful political leader, hidden power struggles erupt within Kerala’s political and criminal networks as rival groups compete for influence and control. Amid the chaos, a mysterious and highly influential figure operating behind the scenes begins manipulating events in ways nobody fully understands. The film combines political drama, organized crime, emotional family conflict, and action thriller elements while exploring loyalty, power, betrayal, and hidden influence.",7.5,https://image.tmdb.org/t/p/w500/fXgY2RCzoIJPhPDoyKRjaaqjIZs.jpg
Bhaag Milkha Bhaag,2013,"Biography, Sports, Drama","Farhan Akhtar, Sonam Kapoor, Divya Dutta",Rakeysh Omprakash Mehra,"Based on the life of legendary athlete Milkha Singh, the film follows a traumatized refugee who survives the horrors of Partition and gradually transforms into one of India’s greatest runners through discipline, pain, and determination. Haunted by childhood memories and personal loss, he channels emotional suffering into relentless athletic ambition. The film combines biography, sports drama, emotional trauma, and historical context while exploring resilience, patriotism, identity, and perseverance.",8.2,https://image.tmdb.org/t/p/w500/bXywc0CEzS1fIshPWWi4V8A58U3.jpg
Queen,2014,"Comedy, Drama, Self-discovery","Kangana Ranaut, Rajkummar Rao, Lisa Haydon",Vikas Bahl,"After being abandoned by her fiancé shortly before marriage, a shy young woman decides to continue her planned honeymoon alone across Europe despite fear and emotional heartbreak. Through unexpected friendships, travel experiences, and cultural exposure, she gradually discovers independence, confidence, and personal freedom beyond societal expectations. The film combines humor, emotional healing, travel adventure, and self-discovery while exploring identity, empowerment, loneliness, and personal growth.",8.1,https://image.tmdb.org/t/p/w500/vKLp0X2RQOuA31R3AdaYtDdKIPK.jpg
96,2018,"Romance, Emotional, Drama","Vijay Sethupathi, Trisha Krishnan",C. Prem Kumar,"A quiet travel photographer revisits his hometown for a school reunion and unexpectedly reconnects with his childhood love after decades of emotional separation. As memories, regrets, and unspoken feelings slowly resurface through intimate conversations over a single night, both individuals reflect on the choices and circumstances that shaped their lives. The film combines nostalgia, emotional realism, subtle romance, and reflective storytelling while exploring memory, longing, timing, and emotional closure.",8.5,https://image.tmdb.org/t/p/w500/nrVloCa2hCFOztRF1DZU2jnWIiQ.jpg
Vikramarkudu,2006,"Action, Comedy, Mass","Ravi Teja, Anushka Shetty, Vineet Kumar",S. S. Rajamouli,"A small-time thief living selfishly and carelessly unexpectedly becomes connected to a fearless police officer whose violent mission against a brutal criminal empire threatens powerful enemies. Through mistaken identity and emotional circumstances involving a young child, the thief gradually transforms into someone willing to fight injustice and protect innocent people. The film combines mass action, emotional drama, comedy, and revenge storytelling while exploring courage, redemption, sacrifice, and responsibility.",7.7,https://image.tmdb.org/t/p/w500/b0yLhLXvlPS5uwyacBVNnR4KoOZ.jpg
Anbe Sivam,2003,"Drama, Philosophy, Comedy","Kamal Haasan, R. Madhavan, Kiran Rathod",Sundar C.,"Two strangers with completely different personalities and worldviews are forced to travel together across India after an unexpected accident disrupts their plans. During the emotionally transformative journey, stories of love, sacrifice, activism, and personal suffering slowly reveal the compassionate philosophy shaping one man’s life despite immense pain and physical scars. The film combines humor, emotional storytelling, political commentary, and philosophical reflection while exploring humanity, kindness, socialism, and unconditional compassion.",8.7,https://image.tmdb.org/t/p/w500/nT556HbikCCLABe8xQ4zQ2QIb0O.jpg
Ayan,2009,"Action, Smuggling, Thriller","Suriya, Tamannaah Bhatia, Prabhu",K. V. Anand,"A daring young smuggler working across international borders becomes involved in dangerous conflicts involving illegal trade networks, betrayal, and violent rivalries after entering the world controlled by powerful criminals. As greed, ambition, and emotional loyalty begin colliding, he must navigate life-threatening situations while protecting the people closest to him. The film combines stylish action, international crime, emotional drama, and suspenseful thriller storytelling.",7.6,https://image.tmdb.org/t/p/w500/49UwEe5U1GuRC6W7difviwCgde2.jpg
Aadukalam,2011,"Drama, Sports, Rural","Dhanush, Taapsee Pannu, V. I. S. Jayapalan",Vetrimaaran,"A talented rooster-fight trainer living in Madurai shares a complicated relationship with his respected mentor whose pride and insecurity slowly turn admiration into jealousy. As traditional competitions, emotional betrayal, and village politics intensify, the young man becomes trapped in conflict involving loyalty, ambition, and identity. The film combines rural realism, emotional drama, sports culture, and psychological tension while exploring ego, mentorship, masculinity, and betrayal.",8.1,https://image.tmdb.org/t/p/w500/osU8Egxu2xhS6RwkxDbfOMYjZZ2.jpg
Soodhu Kavvum,2013,"Dark Comedy, Crime, Thriller","Vijay Sethupathi, Bobby Simha, Ashok Selvan",Nalan Kumarasamy,"A small-time criminal with bizarre kidnapping principles teams up with several unemployed young men to execute low-risk abductions for money, but their plans spiral into absurd chaos after political conspiracies and personal greed interfere. As reality and delusion increasingly blur around the eccentric leader, the situation becomes both dangerous and hilarious. The film combines dark comedy, crime satire, suspense, and absurd humor while exploring desperation, corruption, and moral ambiguity.",8.3,https://image.tmdb.org/t/p/w500/xItyli68pnToohrriXVhWlKe15B.jpg
Madras,2014,"Political, Drama, Action","Karthi, Catherine Tresa, Kalaiyarasan",Pa. Ranjith,"A politically charged conflict surrounding a symbolic wall in North Chennai deeply affects the lives of local youth trapped between friendship, loyalty, and violent political rivalry. As emotional wounds, revenge, and social frustration intensify, a young man struggles to protect his loved ones while confronting systemic manipulation and power struggles within his community. The film combines urban realism, political drama, emotional friendship, and action while exploring identity, oppression, and social division.",7.9,https://image.tmdb.org/t/p/w500/hbaUw4NzU7Zd6QGj7HMNohfWpIT.jpg
Kaaka Muttai,2015,"Drama, Comedy, Social","Ramesh, Vignesh, Aishwarya Rajesh",M. Manikandan,"Two young brothers growing up in a Chennai slum become obsessed with tasting pizza after seeing advertisements and wealthy children enjoying it. Their innocent dream slowly exposes the painful economic inequality and social barriers surrounding urban life as they attempt to earn enough money to enter a luxury restaurant. The film combines childhood innocence, humor, emotional realism, and social commentary while exploring poverty, aspiration, dignity, and consumer culture.",8.5,https://image.tmdb.org/t/p/w500/xa8EJVtnxq6rMPBplGuv2BAS1pl.jpg
Maan Karate,2014,"Fantasy, Sports, Comedy","Sivakarthikeyan, Hansika Motwani, Vamsi Krishna",Thirukumaran,"A carefree young man unexpectedly receives a mysterious prediction paper revealing future events and learns that he must somehow transform an untrained boxer into a champion fighter. As greed, romance, manipulation, and emotional pressure complicate the journey, he struggles to understand whether destiny can truly be changed. The film combines fantasy, sports entertainment, humor, and emotional drama while exploring ambition, fate, friendship, and self-belief.",6.2,https://image.tmdb.org/t/p/w500/42c3XPDLEkbmELwvsbDdan0E425.jpg
Kirik Party,2016,"College, Friendship, Drama","Rakshit Shetty, Rashmika Mandanna, Samyuktha Hegde",Rishab Shetty,"A shy engineering student enters college life expecting ordinary academic routines but gradually experiences friendship, romance, heartbreak, rebellion, and emotional maturity through unforgettable campus experiences. As relationships evolve and personal tragedies reshape his outlook on life, he slowly transforms from an immature teenager into a more responsible adult. The film combines youthful humor, emotional nostalgia, romance, and coming-of-age storytelling while exploring friendship, identity, and emotional growth.",8.3,https://image.tmdb.org/t/p/w500/oKPrrCNGJuYdmn0ZeUZbPCAvvun.jpg
Dia,2020,"Romance, Emotional, Drama","Kushee Ravi, Dheekshith Shetty, Pruthvi Ambaar",K. S. Ashoka,"A reserved young woman struggling with emotional trauma and loneliness slowly reconnects with love after painful heartbreak changes the direction of her life. As relationships from the past and present begin overlapping in emotionally devastating ways, she is forced to confront grief, healing, and difficult choices about happiness and sacrifice. The film combines emotional realism, romance, tragedy, and introspective storytelling while exploring memory, loss, and emotional vulnerability.",8.1,https://image.tmdb.org/t/p/w500/n038AswpNaZgIWfMEr5cxVAqcsB.jpg
Kavaludaari,2019,"Mystery, Crime, Thriller","Rishi, Anant Nag, Achyuth Kumar",Hemanth Rao,"A traffic police officer bored with routine duties becomes obsessed with investigating a decades-old case after human bones are discovered during construction work in Bengaluru. As he uncovers hidden political secrets, forgotten crimes, and emotional truths buried beneath the city’s history, the investigation grows increasingly dangerous. The film combines atmospheric mystery, investigative suspense, emotional storytelling, and noir-style crime drama while exploring obsession, corruption, and memory.",8.1,https://image.tmdb.org/t/p/w500/gDA8IXXHzvDACfZHhmCV6uJSA0V.jpg
Maya,2015,"Horror, Psychological, Mystery","Nayanthara, Aari Arujunan, Lakshmi Priyaa",Ashwin Saravanan,"A struggling single mother accepts an opportunity to act in a horror film but gradually experiences terrifying supernatural events connected to the movie’s disturbing storyline and a tragic past involving death and obsession. As reality and fiction begin merging, she becomes trapped in psychological fear and emotional trauma while trying to protect her child. The film combines atmospheric horror, emotional storytelling, mystery, and psychological suspense while exploring motherhood, fear, and unresolved pain.",7.5,https://image.tmdb.org/t/p/w500/pMQ88CvnQroSjxk4IhM7YNbcjTx.jpg
Kirik Hit,2022,"Comedy, Crime, Thriller","Dhananjay, Samyuktha Hornad",Bharath G,"A timid and unlucky salesman unexpectedly becomes trapped inside a dangerous criminal conspiracy after a series of chaotic misunderstandings place him at the center of a murder investigation. Forced to survive increasingly bizarre situations involving gangsters, deception, and hidden agendas, he slowly discovers unexpected courage within himself. The film combines crime comedy, suspense, dark humor, and emotional awkwardness while exploring survival, fear, and accidental heroism.",7.0,
Mahaan,2022,"Gangster, Drama, Action","Vikram, Dhruv Vikram, Simran",Karthik Subbaraj,"A middle-aged man who spent decades suppressing his desires under strict family expectations suddenly embraces freedom and rebellion after abandoning his conventional life. His transformation gradually pulls him into the dangerous world of crime, alcohol trade, and power struggles, eventually creating emotional conflict with his idealistic son. The film combines gangster drama, emotional family conflict, political undertones, and psychological transformation while exploring freedom, morality, rebellion, and father-son relationships.",7.7,https://image.tmdb.org/t/p/w500/rHcwUUy3gRVUEUepYOd7xkesiNf.jpg
Love Mocktail,2020,"Romance, Drama, Emotional","Darling Krishna, Milana Nagaraj",Darling Krishna,"A heartbroken software engineer reflects on the different stages of love he experienced throughout his life, revisiting relationships that shaped his emotional identity and understanding of happiness. Through memories of friendship, romance, separation, and grief, he gradually confronts loneliness and emotional healing. The film combines emotional realism, romantic nostalgia, and reflective storytelling while exploring heartbreak, companionship, memory, and personal growth.",8.2,https://image.tmdb.org/t/p/w500/tZyFtfXdTt5KU07GUOiW5GPhZD7.jpg
